source_sku,title,description,brand,price,availability,url,image_url
4399266,Afia com Depósito 2 unidades Note! (artigo sortido),"Conjunto de 2 afias com depósito de plástico, colorido transparente. Com 1 orifício universal para a maioria dos lápis, prático para utilização em âmbito escolar, profissional ou em casa.   Características:   Cor: Azul e Preto, Azul e Verde  Formato: Cilíndrico  Unidades: 2  Dimensões: alt.16.4 x larg.12 x comp.2 cm  Aviso: Este artigo existe nos modelos disponíveis na imagem. Para escolher o seu modelo/cor, no momento da confirmação da encomenda, indique no campo notas o modelo pretendido. No caso de falta de stock do modelo pretendido ou na ausência de indicação poderá receber qualquer modelo em função da disponibilidade de stock (incluindo modelos não apresentados na fotografia). Poderá sempre trocar ou devolver em qualquer uma das lojas note!",Note!,1.99,,,https://cdn.shopify.com/s/files/1/0844/5290/1130/files/4399266_1.jpg?v=1739467868
2721688,Afia com Depósito Bulbo Maped (artigo sortido),"O afia Bulbo com cores divertidas, contém abertura articulada com depósito transparente. Feito com 80% de plástico reciclado. Este artigo está disponível nas cores azul e verde.   Características:   Cor: Azul  Dimensões: alt.12.5 x larg.6.5 x comp.2 cm  Aviso: Este artigo existe nos modelos disponíveis na imagem. Para escolher o seu modelo/cor, no momento da confirmação da encomenda, indique no campo notas o modelo pretendido. No caso de falta de stock do modelo pretendido ou na ausência de indicação poderá receber qualquer modelo em função da disponibilidade de stock (incluindo modelos não apresentados na fotografia). Poderá sempre trocar ou devolver em qualquer uma das lojas note!",Maped,2.49,,,https://cdn.shopify.com/s/files/1/0844/5290/1130/files/2721688.jpg?v=1726569679
7414047,Afia com Depósito Croc Croc Maped,"Afia com sistema de abertura, baseado no desenvolvimento de habilidades motoras infantis.   Características:   Cor: Azul  Dimensões: alt.10.5 x larg.6.5 x comp.5 cm",Maped,2.79,,,https://cdn.shopify.com/s/files/1/0844/5290/1130/files/7414047_9ccd1ccc-f9a7-4ff3-9093-bfdf5005e460.jpg?v=1726527769
2483122,Afia com Depósito Eliptic Maped (artigo sortido),"O afia elíptico Shaker da Maped é muito prático devido ao seu depósito de alta capacidade que afia tanto os lápis grossos como os finos.   Características:   Cor: Rosa, Verde, Azul  Dimensões: alt.12.5 x larg.6.5 x comp.2.2 cm  Aviso: Este artigo existe nos modelos disponíveis na imagem. Para escolher o seu modelo/cor, no momento da confirmação da encomenda, indique no campo notas o modelo pretendido. No caso de falta de stock do modelo pretendido ou na ausência de indicação poderá receber qualquer modelo em função da disponibilidade de stock (incluindo modelos não apresentados na fotografia). Poderá sempre trocar ou devolver em qualquer uma das lojas note!",Maped,2.09,,,https://cdn.shopify.com/s/files/1/0844/5290/1130/files/2483122.jpg?v=1726569736
2483126,Afia com Depósito Galactic Maped (artigo sortido),"O afia Galatic da Maped é muito prático devido ao seu formato circular e sistema de injeção de minas. Este artigo está disponível nas cores amarelo e laranja.   Características:   Cor: Amarelo, Laranja  Dimensões: alt.15 x larg.9.5 x comp.2.6 cm  Aviso: Este artigo existe nos modelos disponíveis na imagem. Para escolher o seu modelo/cor, no momento da confirmação da encomenda, indique no campo notas o modelo pretendido. No caso de falta de stock do modelo pretendido ou na ausência de indicação poderá receber qualquer modelo em função da disponibilidade de stock (incluindo modelos não apresentados na fotografia). Poderá sempre trocar ou devolver em qualquer uma das lojas note!",Maped,3.49,,,https://cdn.shopify.com/s/files/1/0844/5290/1130/files/2483126_c195de9a-95cb-4ffa-9646-2d71822cf0c6.jpg?v=1726567195
3061645,Afia com Depósito Globo Maped,"Afia com formato de globo para viajar por todo o mundo. Muito resistente, com depósito de metal.   Características:   Cor: Azul  Dimensões: alt.12.5 x larg.7 x comp.2.6 cm",Maped,2.99,,,https://cdn.shopify.com/s/files/1/0844/5290/1130/files/3061645_67ab903c-04a6-4390-8678-4c82561e5312.jpg?v=1726567192
2418911,Afia com Depósito Igloo Maped,O afia Igloo da Maped é ideal para trazer no estojo devido ao seu pequeno formato. O depósito transparente permite ver sempre quando é necessário esvaziá-lo. Este artigo está disponível nas cores lilás e verde água.   Características:   Cor: Azul  Dimensões: alt.12.5 x larg.6.5 x comp.2.6 cm,Maped,2.09,,,https://cdn.shopify.com/s/files/1/0844/5290/1130/files/2418911_a14f6b28-23ba-490e-aba7-8bfdc8983a09.jpg?v=1726520959
4879353,Afia com Depósito Note! (artigo sortido),"Afia com depósito plástico colorido transparente. Com 2 orifícios de tamanhos diferentes adequados para a maioria dos lápis, prático para utilização em âmbito escolar, profissional ou em casa.   Características:   Cor: Verde, Azul  Dimensões: alt.14.9 x larg.8.5 x comp.3.5 cm  Aviso: Este artigo existe nos modelos disponíveis na imagem. Para escolher o seu modelo/cor, no momento da confirmação da encomenda, indique no campo notas o modelo pretendido. No caso de falta de stock do modelo pretendido ou na ausência de indicação poderá receber qualquer modelo em função da disponibilidade de stock (incluindo modelos não apresentados na fotografia). Poderá sempre trocar ou devolver em qualquer uma das lojas note!",Note!,1.79,,,https://cdn.shopify.com/s/files/1/0844/5290/1130/files/4879353_2.jpg?v=1739467878
7132427,Afia de Metal 2 unidades Note!,"Afia clássica de metal com 1 orifício universal para a maioria dos lápis, prático para utilização em âmbito escolar, profissional ou em casa.   Características:   Cor: Cinza  Unidades: 2  Dimensões: alt.10.5 x larg.7 x comp.2 cm",Note!,0.99,,,https://cdn.shopify.com/s/files/1/0844/5290/1130/files/7132427.jpg?v=1726528097
7169303,Afia Dupla com Depósito (várias cores),"Afia dupla de plástico com depósito colorido para lápis até 8,2 mm Ø e lápis grossos até 10,2 mm Ø, tampa transparente com fecho de segurança.   Características:   Cor: Rosa, Lilás, Verde, Azul  Dimensões: Comprimento x Largura x Altura: 8,3 x 2,4 x 14,2cm  Material: 100% Plástico  Este produto existe em diferentes cores. Caso tenha preferência por alguma delas, após adicionar o produto ao carrinho, indique-o por favor no campo de comentários. Na ausência desta indicação, poderá receber qualquer uma das opções, incluindo cores não apresentadas na fotografia.",Staedtler,4.19,,,https://cdn.shopify.com/s/files/1/0844/5290/1130/files/7169303_1.jpg?v=1726528055
